Comments,Date,Disposition,Location,Occured,Reported,UCPDI,Outcome
"After consuming alcoholic beverages, underage individual created a disturbance and was removed from the property / Peace restored",Liquor Law Violation,Referred,5615 S. University,2019-04-14,4/14/19 2:11 AM,19-00402,referred
Staff member found a small bag of narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2019-04-14,4/14/19 10:07 PM,19-00403,closed
Three unknown suspects used force to take property from a victim walking on the sidewalk off campus / CPD case JC224847,Information,CPD,1556 E. 59th St. (Public Way),2019-04-15,4/15/19 3:21 AM,19-00404,cpd
Wallet taken from a purse that was hung on the back of a chair,Theft,Open,5700 S. Drexel (Starbucks Caf�),2019-04-15,4/15/19 1:18 PM,19-00405,open
A plastic tube fell and struck victim on the head / Transported to UCMED for evaluation and treatment,Injury,Closed,929 E. 57th St. (Gordon Center),2019-04-15,4/15/19 4:09 PM,19-00406,closed
UCPD officer found a small bag of marijuana on the street / Taken to UCPD HQ for proper disposal,Found Property,Closed,1414 E. 61st Pl. (Public Way),2019-04-15,4/15/19 4:55 PM,19-00407,closed
Reports of shots fired off campus / Shell casings found / No injuries or property damage reported / CPD case JC225645,Information,CPD,1519 E. 61st St. (Public Way),2019-04-15,4/15/19 4:41 PM,19-00408,cpd
"An unknown subject displayed a handgun on the street off campus, placing victim in fear / CPD case JC226105",Information,CPD,6103 S. Ingleside (Public Way),2019-04-15,4/15/19 11:39 PM,19-00409,cpd
Ill person treated by CFD EMS / Declined further treatment,Medical,Closed,1116 E. 59th St. (Harper),2019-04-16,4/16/19 9:29 AM,19-00410,closed
"Suspect, without provocation, struck victim with his fist and fled / Suspect located and detained by UCPD / Victim declined prosecution",Battery,Ex. Cleared,1111 E. 60th St. (Law School),2019-04-16,4/16/19 9:54 AM,19-00411,cleared
Person suffering from dementia left the hospital and was reported missing / Missing person later located by CPD and escorted home,Missing Person,Closed,5815 S. Maryland (Mitchell Hospital),2019-04-16,4/16/19 12:06 PM,19-00412,closed
Report to document behavior and termination of contract employee,Information,Closed,5500 S. University (Baker Dining Hall),2019-04-08,4/16/19 5:13 PM,19-00413,closed
Number generated in error,Void,Void,Void,NA,Void,19-00414,void
Four unknown suspects forcibly took purse from victim walking on the sidewalk off campus before fleeing on foot / CPD case JC227342,Information,CPD,1400 E. Hyde Park (Public Way),2019-04-16,4/16/19 9:05 PM,19-00415,cpd
Unknown person(s) forced entry to Parked UC owned vehicle and took 2 refrigeration gauges,Theft,Open,1442 E. 59th St. (Public Way),2019-04-16,4/17/19 6:07 AM,19-00416,open
Cell phone taken from table in caf� while victim was distracted,Theft,Open,915 E. 60th St. (Logan Center),2019-04-17,4/17/19 3:27 PM,19-00417,open
Report of minor damage to UC owned vehicle,Damage to Property,Closed,850 E. 61st St. (UCPD HQ),2019-04-18,4/18/19 9:09 AM,19-00418,closed
Disturbed patient struck a staff member / Arrest and charges pending suspect release from hospital,Battery,Open,5656 S. Maryland (UCMED),2019-04-18,4/18/19 9:30 AM,19-00419,open
Lost cell phone was found and returned to owner,Found Property,Closed,5721 S. Maryland (Comer Hospital),2019-04-18,4/18/19 11:14 AM,19-00420,closed
Suspect struck and kicked a UCM staff member / Suspect arrested and charged with felony battery,Battery,Arrest,5700 S. Maryland (CCD),2019-04-18,4/18/19 1:45 PM,19-00421,arrested
A car key was found and turned over to UCPD for safekeeping,Found Property,Closed,5813 S. Blackstone,2019-04-18,4/18/19 2:41 PM,19-00422,closed
"DSS was notified by a Campus Security Authority that an undisclosed victim reported she was sexually assaulted by a known person / Due to confidentiality of reporting, limited information is available regarding this incident.",Assault,No Investigation Referred to Title IX Coordinator,5625 S. Ellis (Max Palevsky RH),NA,4/18/19 4:22 PM,CSA Report    19-016,referred
"Two unknown suspects, one armed with a handgun, took property from a victim before fleeing on foot / CPD case JC229419",Information,CPD,1642 E. 56th St. (Alley),2019-04-18,4/18/19 4:49 PM,19-00423,cpd
Information relating to inappropriate use of UC computer in library,Information,Closed,1100 E. 57th St. (Regenstein Library),2019-04-18,4/18/19 10:13 PM,19-00424,closed
Unknown suspects used force in an attempt to take property from a person walking off campus / Three suspects were arrested by responding UCPD officers,Robbery,Arrest,1350 E. Madison Park,2019-04-18,4/18/19 11:13 PM,19-00425,arrested
Underage individual intoxicated after consuming alcoholic beverages / Escorted to residence,Liquor Law Violation,Referred,1330 E. 53rd St. (Vue 53 RH),2019-04-19,4/19/19 1:02 AM,19-00426,referred
Galaxy cell phone found on UC Shuttle Bus turned over to UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),2019-04-19,4/19/19 3:12 PM,19-00427,closed
Unknown suspect snatched cell phone from the hand of a person walking on the sidewalk before fleeing to a waiting vehicle,Theft,Open,1336 E. 61st St. (Public Way),2019-04-20,4/20/19 4:40 PM,19-00428,open
"Subject, without provocation, swung fists at staff member, causing victim to fear for her safety / Suspect arrested by UCPD",Assault,Arrest,5656 S. Maryland (UCMED),2019-04-21,4/21/19 9:35 AM,19-00429,arrested
Individual reports losing wallet between 1346 E. 53rd St. and the lakefront,Lost Property,Closed,1346 E. 53rd to Lakefront,2019-04-21,4/21/19 2:53 PM,19-00430,closed
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,Various locations on campus,2019-01-01,4/22/19 8:40 AM,CSA Report    19-017,referred
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,5625 S. Ellis (Max Palevsky RH),2019-04-21,4/22/19 8:46 AM,CSA Report    19-018,referred
Unknown suspect took a bag of tools from a parked van / Suspect dropped bag and fled when confronted by a worker,Theft,Open,1307 E. 60th St. (Construction Area),2019-04-22,4/22/19 12:36 PM,19-00431,open
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,Various locations on campus,2019-04-19,4/22/19 3:01 PM,CSA Report    19-019,referred
Vehicle struck a safety barrier and then struck a parked car / No injuries reported 2019-MVA00084,Traffic Incident,Closed,5700 S. Maryland (CCD),2019-04-23,4/23/19 2:44 PM,19-00432,closed
Complainant reports a series of incidents believed to be related to a disagreement with a former roommate,Information,Closed,61st St. near Kenwood,2019-01-20,4/23/19 4:11 PM,19-00433,closed
"Cash taken from unattended, unsecured wallet left in public space",Theft,Open,5730 S. Drexel (Comer Hospital),2019-04-23,4/24/19 12:36 AM,19-00434,open
"A police officer approached two unknown suspects who were committing a theft on the street off campus / As the suspects fled in a vehicle, one suspect fired a shot in the direction of the officer / No injuries or property damage reported / CPD case JC236093",Information,CPD,5454 S. Dorchester (Public Way),2019-04-24,4/24/19 5:45 AM,19-00435,cpd
Secured bicycle taken from bike rack,Theft,Open,5840 S. Kenwood (Lab School Bike Rack),2019-04-17,4/24/19 8:32 AM,19-00436,open
"Unattended, unsecured book bag taken from common area",Theft,Open,1156 E. 57th St. (Divinity House),2019-04-24,4/24/19 2:28 PM,19-00437,open
Individual transported to UCMED for evaluation,Mental Health,Closed,5555 S. Woodlawn (Student Counseling Services),2019-04-24,4/24/19 3:24 PM,19-00438,closed
"Unattended, unsecured back pack taken from a chair in the caf�",Theft,Open,5500A. S. University (Dollop Caf�),2019-04-24,4/24/19 7:09 PM,19-00439,open
A staff member found a small baggie containing a white powdery substance in patient's room / Turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2019-04-24,4/24/19 8:04 PM,19-00440,closed
Owner reports that an unknown person placed stickers on her parked vehicle,Information,Closed,5829 S. University (Public Way),2019-04-25,4/25/19 1:09 PM,19-00441,closed
Unknown person(s) fired a weapon in the area of 62nd & Kimbark / Unoccupied parked vehicle sustained damage from the gunfire / No injuries reported / CPD case JC237957,Information,CPD,6141 S. Kimbark (Public Way),2019-04-25,4/25/19 2:37 PM,19-00442,cpd
Individuals reported an adult roommate was missing / Missing person returned home,Information,Closed,Dorchester between 54th & 55th,2019-04-22,4/25/19 8:44 PM,19-00443,closed
"Four unknown suspects, implying a weapon - no weapon seen - took property from two individuals walking on the sidewalk off campus / CPD case JC238682",Information,CPD,5201 S. Harper (Public Way),2019-04-26,4/26/19 2:23 AM,19-00444,cpd
"At the request of the director, an individual was escorted from the school by UCPD officer",Information,Closed,6300 S. Woodlawn (Woodlawn Charter School),2019-04-26,4/26/19 9:05 AM,19-00445,closed
An individual found a wallet and turned it over to UCPD for safekeeping,Found Property,Closed,5444 S. Drexel,2019-04-26,4/26/19 10:38 AM,19-00446,closed
Secured bicycle taken from bike rack,Theft,Open,5811 S. Ellis (Cobb Hall Bike Rack),2019-04-26,4/26/19 4:30 PM,19-00447,open
Report of suspicious vehicle following an individual walking on the sidewalk / Vehicle departed before police were notified,Information,Closed,5600 S. Woodlawn (Public Way),2019-04-26,4/26/19 11:36 PM,19-00448,closed
Contract employee reports lost bag containing a laptop,Lost Property,Closed,5700 S. Maryland (CCD),2019-04-27,4/27/19 11:44 AM,19-00449,closed
Individual reports lost wallet,Lost Property,Closed,58th & Woodlawn to 1100 E. 57th St.,2019-04-26,4/27/19 1:21 PM,19-00450,closed
"Wallet taken from unattended, unsecured jacket",Theft,Open,1100 E. 57th St. (Regenstein Library),2019-04-28,4/28/19 9:13 PM,19-00451,open
Information regarding a message scrawled on a bulletin board,Information,Closed,929 E. 57th St. (Gordon Center),2019-04-27,4/29/19 2:10 PM,19-00452,closed
Two suspects were observed taking items from a vehicle parked on the street / Suspects detained by UCPD officer / Victim declined prosecution,Theft,Ex. Cleared,1218 E. Midway Pl.,2019-04-29,4/29/19 3:00 PM,19-00453,cleared
"Unattended, unsecured boots and umbrella left in locker room were taken by unknown person / Follow up investigation revealed the items had been turned into the lost and found department / No crime occurred",Theft,Unfounded,1111 E. 60th St. (Law School),2019-04-29,4/29/19 6:26 PM,19-00454,unfounded
Person reports losing an iPad while in the building,Lost Property,Closed,"5700 S, Maryland (CCD)",2019-04-30,4/30/19 2:38 PM,19-00455,closed
Individual found an iPad on the sidewalk / Turned over to UCPD for safekeeping,Found Property,Closed,969 E. 60th St. (Public Way),2019-04-29,4/30/19 3:07 PM,19-00456,closed
A camera and accessories taken from secured office,Theft,Open,860 E. 59th St. (Goldblatt Hospital),2019-04-16,4/30/19 4:00 PM,19-00457,open
Information regarding suspicious activity,Information,Open,5801 S. Ellis,2019-04-30,4/30/19 6:46 PM,19-00458,open
Sick person transported to the hospital for evaluation and treatment,Medical,Closed,1414 E. 59th St. (I-House),2019-04-30,4/30/19 11:41 PM,19-00459,closed
Individual reported being sexually assaulted / CPD case JC244876,Information,CPD,5700 S. Maryland (CCD),2019-04-30,4/30/19 4:04 PM,19-00461,cpd
Metra police detained a suspect wanted on a warrant / Suspect turned over to and arrested by UCPD,Arrest,Arrest,1520 E. 57th St. (Metra Platform),2019-05-01,5/1/19 3:20 AM,19-00460,arrested
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,5625 S. Ellis (Max Palevsky RH),NA,5/1/19 2:52 PM,CSA Report    19-021,referred
Individual reports losing backpack in the building,Lost Property,Closed,5500 S. University (Campus North RH),2019-04-26,5/1/19 4:43PM,19-00462,closed
An underage individual became ill after consuming alcoholic beverages / Transported to residence hall,Liquor Law Violation,Referred,5630 S. University (Max Palevsky RH),2019-05-02,5/2/19 4:09 AM,19-00463,referred
Individual was transported to the hospital by CFD EMS for evaluation,Mental Health,Closed,6300 S. University (Woodlawn Charter School),2019-05-02,5/2/19 10:42 AM,19-00464,closed
A computer monitor and other items taken from desk in cubicle in unsecured area,Theft,Open,5751 S. Woodlawn (McGiffert House),2019-05-01,5/2/19 1:57 PM,19-00465,open
UCPD officer arrested a person wanted by CPD for possession of a weapon / Suspect turned over to and arrested by CPD / CPD case JC247045,Assist Other Agency,CPD,6403 S. Greenwood (Public Way),2019-05-02,5/2/19 4:28 PM,19-00466,cpd
UCPD officer found an unauthorized person in the building / Subject given written trespass warning and escorted from the property,Information,Closed,5751 S. Woodlawn (McGiffert House),2019-05-03,5/3/19 12:01 AM,19-00467,closed
"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall / Due to confidentiality of reporting, limited information is available regarding this incident",Assault,No Investigation Referred to Title IX Coordinator,6031 S. Ellis (Granville-Grossman RH),2015-09-15,5/3/19 1:17 PM,CSA Report    19-022,referred
Library staff member turned over 2 cell phones and a set of keys found in the library between 2017-2019 / Inventoried at UCPD for safekeeping,Found Property,Closed,1116 E. 59th St. (Harper Library),2019-05-03,5/3/19 2:19 PM,19-00468,closed
Number generated in error,Void,Void,Void,NA,Void,19-00469,void
"During the course of a domestic argument, a domestic partner struck victim in the face with a fist / Suspect arrested by UCPD",Battery,Arrest,5700 S. Woodlawn (Public Way),2019-05-03,5/3/19 9:42 PM,19-00470,arrested
Unknown person(s) broke window of unoccupied vehicle and took coins,Theft,Open,950 E. 61st St. (Parking Lot),2019-05-03,5/4/19 12:20 AM,19-00471,open
Unknown person(s) smashed windows in 4 vehicles parked in the lot,Damage to Property,Open,6019 S. Ingleside (Parking Lot),2019-05-03,5/4/19 7:56 AM,19-00472,open
Individual transported to UCMED for evaluation and treatment,Mental Health,Closed,1116 E. 59th St. (Harper Library),2019-05-04,5/4/19 10:55 AM,19-00473,closed
Suspect struck UCPD officer / Suspect arrested and charged with felony aggravated battery,Battery,Arrest,5980 S. Ellis (Public Way),2019-05-04,5/4/19 11:36 PM,19-00474,arrested
