Comments,Date,Disposition,Location,Occured,Reported,UCPDI
A person parked and exited car off-campus was approached by 2 unknown suspects who took victim's bag and car keys / Suspects drove off in victim's car / 1 suspect arrested by CPD after car crashed / CPD case JD473967,Information / Robbery,CPD,5254 S. Dorchester (Public Way),12/30/20 7:20 PM,12/30/20 7:20 PM,2020-065318
UCPD detained a person who had battered a Metra employee on board a Metra train outside of UCPD patrol area / Turned over to and arrested by Metra PD,Assist Other Agency,Metra PD,1520 E. 59th St. (Metra Station),12/31/20 4:33 PM,12/31/20 4:33 PM,20-00772
Person reported there were signs that unknown person(x) had been inside their vehicle parked off-campus / Referred to CPD,Information / Criminal Trespass to Vehicle,Referred,Blackstone between 56th & 57th,1/3/21 3:56 PM,1/3/21 3:56 PM,2021-000252
Resident of off-campus private apartment reported damage to door and window during a disturbance among several people / CPD case JE102342,Assist Other Agency,CPD,6213 S. Greenwood,1/3/21 4:15 PM,1/3/21 4:21 PM,21-00001
Suspect violated order of protection and damaged security camera on victim's residence off-campus / Suspect fled before police arrival / CPD case,Information / Criminal Damage to Property,CPD,Cornell between 49th & 50th,1/3/21 10:00 PM,1/3/21 10:01 PM,2021-000274
Person responsible for fire in station arrested by Metra Police,Information / Criminal Damage to Property,Metra PD,1520 E. 57th St. (Metra Station),1/4/21 3:13 AM,1/4/21 3:13 AM,2020-000295
Delayed Report - Unknown person pointed a handgun at a person walking on the sidewalk off-campus / Referred to CPD,Information / Aggravated Assault,Referred,5401 S. Ellis (Public Way),12/27/20 11:15 PM,1/4/21 2:19 PM,2020-000372
Number generated in error,Void,Void,Void,Void,Void,21-00002
Individual creating a disturbance was escorted from the hospital lobby by UCPD officers,Disturbance,Closed,5721 S. Maryland (Comer Hospital),1/1/21 3:02 AM,1/1/21 3:02 AM,21-00003
Delivery driver left car parked on the street off-campus with the motor running / Unknown person took car / CPD case JE103987,Information / Motor Vehicle Theft,CPD,1368 E. 53rd St. (Public Way),1/5/21 1:15 PM,1/5/21 1:18 PM,2021-000533
Item found in UC owned vehicle inventoried,Found Property,Closed,850 E. 61st St. (UCPD HQ),1/5/21 2:10 PM,1/5/21 2:27 PM,21-00004
"After causing a disturbance, an individual ignored several orders to leave the premises / Suspect arrested by UCPD and charged with trespass to land and resisting arrest",Criminal Trespass to Land,Arrest,5730 S. Drexel (Comer Hospital),1/5/21 3:00 PM,1/5/21 3:08 PM,21-00005
Sick person transported to UCMED by CFD EMS,Medical Call,Closed,1414 E. 59th St. (I-House),1/6/21 12:46 AM,1/6/21 12:46 AM,21-00006
Person found in possession of illegal substances was arrested by UCPD,Possession of Narcotics,Arrest,6101 S. Blackstone (Steam Plant Parking Lot),1/6/21 12:27 PM,1/6/21 12:27 PM,21-00007
Credit card found on UC shuttle bus turned over to UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),1/6/21 1:59 PM,1/6/21 1:59 PM,21-00008
20- iPod Touches taken from cabinet in office,Theft,Open,950 E. 59th St. (Billings Hospital),12/18/20 to 1/6/21 9:00 AM to 3:30 PM,1/6/21 4:41 PM,21-00009
Person stated an unknown subject took a package from the door step of their off-campus residence / Referred to CPD,Information / Theft,Referred,57th St. between Kenwood & Dorchester,1/5/21 4:00 AM,1/6/21 7:13 PM,2120-000728
Person reported they were struck I the face during the course of a family argument / Transported to UCMED for treatment of minor injury,Battery,Closed,1000 E. Midway Pl. (Public Way),1/6/21 8:50 PM,1/6/21 9:05 PM,21-00010
Suspect was arrested by UCPD officers for two active out-of-state warrants,Warrant Arrest,Arrest,1000 E. Midway Pl. (Public Way),1/6/21 9:05 PM,1/6/21 9:05 PM,21-00011
Sick person transported by CFD EMS to UCMED for treatment,Medical Call,Closed,1101 E. 58th St. (Rosenwald Hall),1/7/21 1:23 PM,1/7/21 1:23 PM,20-00012
3 unknown persons filled trash bags with merchandise and fled the store / CPD case JE106199,Information / Theft,CPD,5228 S. Lake Park (Store),1/7/21 4:15 PM,1/7/21 4:38 PM,2020-000826
Three suspects ignored previous warnings and were arrested for trespass to the parking garage,Criminal Trespass to Land,Arrest,5224 S. Lake Park (Parking Garage),1/8/21 1:01 AM,1/8/21 1:01 AM,21-00013
Unauthorized subject located in the vestibule of the apartment building was issued a trespass warning,Information,Closed,6019 S. Ingleside (UC Apartment Bldg.),1/8/21 7:24 AM,1/8/21 7:24 AM,21-00014
Two unknown suspects armed with a handgun forced the victim from the 2001 BMW parked on the street off-campus and drove off in the victim's car / CPD case JE107311,Information / Aggravated Vehicular Hijacking,CPD,5000 S. Cornell (Public Way),1/8/21 6:55 PM,1/8/21 7:03 PM,2021-000978
Staff member found bags of heroin in patient's belongings / Contraband turned over to UCPD for proper disposal,Found Narcotics,Closed,5656 S. Maryland (UCMED),1/8/21 9:19 PM,1/8/21 9:19 PM,21-00015
Patient struck staff member with fists / Patient restrained by staff,Battery,Ex. Cleared,5730 S. Drexel (Comer Hospital),1/9/21 1:30 AM,1/9/21 3:14 AM,21-00016
Small electrical fire in ceiling was extinguished / No injuries / CFD on scene,Fire,Closed,5840 S. Maryland (Parking Structure),1/9/21 7:45 AM,1/9/21 7:47 AM,21-00017
Unknown person took merchandise and ran from store / Referred to CPD,Information / Theft,Referred,1554 E. 55th St.,1/9/21 8:19 AM,1/9/21 8:19 AM,2021-001039
Cell phone found on the public way inventoried at UCPD,Found Property,Closed,5300 S. Dorchester (Public Way),1/9/21 12:40 PM,1/9/21 12:58 PM,21-00018
"One person shot and killed and a second person wounded in an off-campus building lobby / Suspect later killed in a shootout with Evanston, IL Police / CPD case",Information / Homicide / Aggravated Battery,CPD,East End between 49th & 50th,1/9/21 2:15 PM,1/9/21 2:19 PM,2021-001086
"Suspect took money and car keys from victim at gunpoint / Took victim's vehicle / Suspect later killed in a shootout with Evanston, IL Police / CPD case JE108066",Information / Burglary / Home Invasion,CPD,5000 S. East End,1/9/21 2:25 PM,1/9/21 2:40 PM,2021-001087
"Deceased person found shot in car parked in off-campus parking garage / Suspect later killed in a shootout with Evanston, IL Police / CPD case JE108124",Information / Homicide,CPD,5035 S. East End (Parking Garage),1/9/21 5:10 PM,1/9/21 5:10 PM,2021-001104
Storage locker gate broken,Criminal Damage to Property,Open,6057 S. Drexel (UC Apartments),1/9/21 6:30 PM,1/9/21 7:06 PM,21-00019
"Two unknown suspects, armed with a handgun, took victim's vehicle / CPD case JE108273",Information / Aggravated Vehicular Hijacking,CPD,959 E. 53rd St. (Public Way),1/9/21 6:35 PM,1/9/21 7:39 PM,2021-001119
Property damage traffic crash / Metal barriers damaged,Traffic Crash,Closed,5932 S. Dorchester,1/9/21 10:39 PM,1/9/21 10:39 PM,21-00020
Staff member injured knee during performance of duties,Injured Person,Closed,5212 S. Cornell (Public Way),1/9/21 5:10 PM,1/9/21 5:10 PM,21-00021
Unauthorized person given a trespass warning,Criminal Trespass to Land,Closed,6022 S. Drexel (Midway RH),1/10/21 12:00 PM,1/10/21 12:00 PM,21-00022
Domestic disturbance on the public way / Peace restored / Referred to CPD,Information / Domestic Disturbance,Referred,6200 S. Stony Island (Public Way),1/10/21 1:52 PM,1/10/21 1:52 PM,2021-001218
Parcel taken from vestibule of off-campus private building / CPD case JE108424,Information / Theft,CPD,Greenwood between 54th & 55th,1/6/21 to 1/7/21 6:30 PM to 12:00 PM,1/10/21 3:02 PM,2021-001223
Two bicycles taken from basement storage room of off-campus private building / Referred to CPD,Information / Theft,Referred,Kimbark between 61st & 62nd,1/10/21  unknown time,1/10/21 4:50 PM,2021-001236
Tenant reports suspicious people were in rear yard of off-campus apartment building / Referred to CPD,Information / Criminal Trespass to Land,Referred,61st St. between Ingleside & Ellis,1/10/21 11:00 PM,1/11/21 1:54 PM,2021-001345
2005 Honda stolen from shopping center parking lot / CPD case JE109667,Information / Motor Vehicle Theft,CPD,1400 E. 47th St. (Parking Lot),1/11/21 12:00 PM,1/11/21 2:09 PM,2021-001348
Staff member reported lost-missing property,Lost Property,Closed,5758 S. Maryland (DCAM),1/12/21 9:18 AM,1/12/21 9:18 AM,21-00023
UCPD officers assisted CPD with an off-campus tenant-landlord dispute / Peace restored,Assist Other Agency,Closed,University between 51st & 52nd,1/12/21 10:43 AM,1/12/21 10:43 AM,21-00024
Wallet and purse found in Main Quad / Returned to owner,Found Property,Closed,5801 S. Ellis (Main Quad),1/12/21 4:14 PM,1/12/21 4:14 PM,21-00025
One domestic partner struck the other in off-campus retail store / CPD case JE110852,Information / Domestic Battery,CPD,53rd between Harper and Lake Park,1/12/21 3:40 PM,1/12/21 4:24 PM,2021-001511
UCPD officer questioned a suspect walking away from a disabled vehicle / Investigation revealed vehicle was taken in a carjacking outside of UCPD area / Suspect turned over to and arrested by CPD / CPD case JE111333,Assist Other Agency,CPD,6100 S. Ellis (Public Way),1/13/21 8:01 AM,1/13/21 8:01 AM,21-00026
Patient lost dentures,Lost Property,Closed,5815 S. Maryland (Mitchell Hospital),1/6/21 3:00 PM to 5:55 PM,1/13/21 12:07 PM,21-00027
"Staff member reported unsecured, unattended bag of personal property was taken from room",Theft,Open,950 E. 59th St. (Billings Hospital),1/4/21 12:30 PM to 8:30 PM,1/13/21 12:05 PM,21-00028
"Two suspects, one armed with a handgun, forced victim from car and drove off with the 2020 BMW / Unoccupied car later recovered by CPD near 47th & Cottage Grove / CPD case",Information / Aggravated Vehicular Hijacking,CPD,1400 block E. Rochdale,1/13/21 6:35 PM,1/13/21 6:51 PM,2021-001673
Four unknown suspects took merchandise and ran from store / Referred to CPD,Information / Theft,Referred,5228 S. Lake Park (Store),1/13/21 6:50 PM,1/13/21 6:58 PM,2021-001674
Minor damage to UC owned vehicle reported,Information / Damage to Property,Closed,850 E. 61st St. (UCPD HQ),1/13/21/ to 1/14/21  6:15 PM to 7:35 AM,1/14/21 7:38 AM,21-00029
Information about a domestic dispute off-campus / Referred to CPD,Information / Domestic Dispute,Referred,University between 61st & 62nd,1/12/21 4:30 PM,1/14/21 7:19 PM,2021-001819
"Three unknown suspects forced victim from a parked car off-campus, took victim's keys and vehicle / CPD case JE113236",Information / Vehicular Hijacking,CPD,5626 S. Kenwood (Public Way),1/15/21 7:45 AM,1/15/21 8:01 AM,2021-001870
Ill person transported to UCMED by CFD EMS,Medical Call,Closed,1362 E. 59th St. (Public Way),1/15/21 2:31 PM,1/15/21 2:31 PM,21-00030
Sick person transported to UCMED by CFD EMS,Medical Call,Closed,6031 S. Ellis (Granville-Grossman RH),1/16/21 12:03 AM,1/16/21 12:03 AM,21-00031
Subject arrested by UCPD for taking packages from door steps of buildings off-campus,Theft,Arrest,Dorchester between 56th & 57th,1/16/21 12:36 PM,1/16/21 12:36 PM,21-00032
Person reported theft of two packages from the doorstep of off-campus building / Referred to CPD,Information / Theft,Referred,Kimbark between 57th & 58th,1/16/21 12:15 PM,1/16/21 1:34 PM,2021-002055
UCID card found on UC Shuttle bus turned over to UCPD for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),1/16/21 1:55 PM,1/16/21 1:55 PM,20-00033
"Victim exiting driveway was approached by two suspects, one armed with a handgun / Suspects took victim's 2019 Mazda and drove off followed by a white SUV / CPD case JE115347",Information / Aggravated Vehicular Hijacking,CPD,University between 61st & 62nd,1/17/21 11:05 AM,1/17/21 11:05 AM,2021-002181
Person transported to UCMED by CFD EMS for evaluation,Mental Health Transport,Closed,6031 S. Ellis (Granville-Grossman RH),1/17/21 12:13 PM,1/17/21 12:13 PM,21-00034
An unknown suspect armed with a handgun took property from two victims walking on the sidewalk off-campus / CPD case JE115947,Information / Armed Robbery,CPD,1413 E. 57th St. (Public Way),1/18/21 1:10 AM,1/18/21 1:52 AM,2021-002258
Unknown suspect took merchandise from the off-campus store without paying / Referred to CPD,Information / Theft,Referred,1554 E. 55th St.,1/18/21 2:30 PM,1/18/21 2:32 PM,2021-002336
Person transported to UCMED by CFD EMS for evaluation,Mental Health Transport,Closed,Woodlawn between 53rd & 54th,1/18/21 6:27 PM,1/18/21 6:27 PM,21-00035
Parked car left unattended with motor running off-campus was taken by unknown person(s) / Referred to CPD,Information / Motor Vehicle Theft,Referred,1380 E. Hyde Park,1/18/21 8:48 PM,1/18/21 8:48 PM,2021-002377
"Two unknown suspects, one armed with a handgun, took property from a victim walking on the sidewalk off-campus / CPD case JE116721",Information / Armed Robbery,CPD,5115 S. Dorchester (Public Way),1/19/21 12:00 AM,1/19/21 12:18 AM,2021-002396
Report of minor damage to UC owned vehicle,Damage to Property,Closed,5601 S. Cottage Grove,1/19/21 8:15 AM,1/19/21 8:15 AM,21-00036
Unauthorized subject ignored repeated warnings and was arrested by UCPD officer for trespass to property,Criminal Trespass to Land,Arrest,6022 S. Drexel (Midway RH),1/19/21 8:30 AM,1/19/21 8:38 AM,21-00037
Report of IDES fraud using employee's identification to file a claim,Information / Deceptive Practice,Closed,850 E. 61st St. (UCPD HQ),1/3/21 9:55 AM,1/19/21 9:55 AM,21-00038
Unknown subject took merchandise from off-campus store without paying / Referred to CPD,Information / Theft,Referred,1554 E. 55th St. (Walgreens),1/19/21 2:47 PM,1/19/21 2:47 PM,2021-002494
Subject approached victim's residence armed with a handgun / Violated Order of Protection / Suspect fled / CPD case JE117307,Information / Aggravated Assault / Violation of Order of Protection,CPD,Cornell between 49th & 50th,1/19/21 6:55 PM,1/19/21 6:55 PM,2021-002527
Motorist struck pedestrian in crosswalk and fled without stopping / Victim transported to UCMED by CFD EMS / CPD case JE117478,Information / Hit & Run Traffic Crash / Personal Injury,CPD,55th St. at University,1/19/21 7:28 PM,1/19/21 7:28 PM,2021-002531
Suspect in previous case 2021-002527 damaged Ring camera with a hammer / Referred to CPD,Information / Criminal Damage to Property,CPD,Cornell between 49th & 50th,1/19/21 10:34 PM,1/19/21 10:34 PM,2021-002553
Disturbed patient made threats to staff,Information / Threat,Closed,5815 S. Maryland (Mitchell Hospital),1/20/21 1:00 PM,1/20/21 2:14 PM,21-00039
"During a road rage incident, one unknown motorist attempted to strike the other driver with their car / Suspect struck victim's car and fled / Subsequent to a thorough investigation, the offender was arrested by UCPD Investigator on 6/3/21",Aggravated Assault,Arrest,1000 E. Midway Pl. (Public Way),1/20/21 4:30 PM,1/20/21 4:39 PM,21-00040
Unoccupied vehicle parked off-campus with motor running was taken by unknown person / Referred to CPD,Information / Motor Vehicle Theft,Referred,5648 S. Kimbark (Public Way),1/20/21 4:50 PM,1/20/21 5:53 PM,2021-002659
Rear license plate missing from vehicle parked on the street off-campus / Referred to CPD,Information / Theft,Referred,5400 S. Shore Dr. (Public Way),12/20/20 to 1/21/21 time unknown,1/21/21 1:42 PM,2021-002775
Person reports losing Apple ear pods while in the building,Lost Property,Closed,800 E. 55th St. (Friend Center),1/21/21 2:00 PM to 2:10 PM,1/21/21 2:35 PM,21-00041
Two acquaintances involved in disagreement over property  / Peace restored,Information,Closed,5656 S. Maryland (Public Way),1/21/21 4:18 PM,1/21/21 4:18 PM,21-00042
UCPD officers assisted out of state agency search for a person wanted on a warrant,Assist Other Agency,Closed,5721 S. Maryland (Comer Hospital),1/21/21 4:45 PM,1/21/21 4:45 PM,21-00043
"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by a co-worker / Due to confidentiality of reporting, limited information is available regarding this incident",Sexual Assault / Fondling,No Investigation Referred to Title IX Coordinator,6054 S. Drexel (Parking Structure,1/14/21 11:05 PM,1/22/21 9:15 AM,CSA Report    21-001
